URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/local/lanow/la-me-ln-suge-knight-postscript-201800922-story.html,185227,164,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-3-years-in-pakistan-review-20180927-story.html,197106,151,text/html
http://www.latimes.com/science/sciencenow/,216073,207,text/html
http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-may-2018-gov-jerry-brown-blocks-plan-to-let-san-1538365387-htmlstory.html,191102,178,text/html
http://www.latimes.com/la-bio-maria-torres-staff.html,80425,168,text/html
http://www.latimes.com/sports/,362095,286,text/html
http://www.latimes.com/la-bio-corina-knoll-staff.html,98399,182,text/html
http://www.latimes.com/espanol/internacional/,255850,208,text/html
http://www.latimes.com/fashion/la-ig-pfw-balmain-20180929-story.html,201173,151,text/html
http://www.latimes.com/la-bio-glenn-whipp-staff.html,100181,182,text/html
http://www.latimes.com/opinion/,197244,234,text/html
http://www.latimes.com/la-bio-monte-morin-staff.html,95637,183,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-indie-focus-old-man-and-the-gun-monsters-and-men-free-solo-20180929-story.html,219819,170,text/html
http://www.latimes.com/entertainment/gossip/,248822,210,text/html
http://www.latimes.com/local/lanow/la-me-ln-viet-immigration-20180927-story.html,135842,152,text/html
http://www.latimes.com/la-bio-christopher-knight-staff.html,98611,181,text/html
http://www.latimes.com/business/hollywood/,246107,210,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-mini-longing-review-20180927-story.html,195927,151,text/html
http://www.latimes.com/entertainment/tv/la-et-st-1001-tvhighlights-20181001-story.html,212264,154,text/html
http://www.latimes.com/science/,248629,231,text/html
http://www.latimes.com/la-bio-richard-verrier-staff.html,98494,187,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-mini-the-padre-review-20180927-story.html,197548,151,text/html
http://www.latimes.com/style/la-comics-htmlstory.html,93024,168,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-nobel-prize-medicine-immunotherapy-20181001-story.html,159972,150,text/html
http://www.latimes.com/la-bio-benjamin-oreskes-staff.html,95607,180,text/html
